Area name,Area budget,,,,,,,,,
Kársnes,33,,,,,,,,,
Digranes,62,,,,,,,,,
Smárahverfi,24,,,,,,,,,
Lindir og Salir,36,,,,,,,,,
Vatnsendi,45,,,,,,,,,
,,,,,,,,,,
Area Name,URL to original idea (optional),Costs,Location 1,Location 2 (optional),Name-is,Description-is,Name-en,Description-en,Name-pl,Description-pl
Digranes,https://yrpri.org/post/59698,6,"64.113095, -21.887170",,Stígur milli Hjallabrekku og Laufbrekku,Bæta stíg við Hjallabrekku 2 fyrir gangandi og hjólandi,Path between Hjallabrekka and Laufbrekka,Add a path at Hjallabrekka 2 for pedestrians and cyclists,Chodnik łączący ulice Hjallabrekka i Laufbrekka,Projekt zakłada budowę chodnika dla pieszych i rowerzystów przy ulicy Hjallabrekka 2
Digranes,https://yrpri.org/post/59849,11,"64.107746, -21.938050",,Lýsing í undirgöngum,Bæta lýsingu í 5 undirgöngum í hverfinu,Lighting in the underbridge,Add lighting to 5 underbridges in the neighbourhood,Oświetlenie pod mostem,Projekt zakłada montaż oświetlenia pod 5 mostami w okolicy
Digranes,https://yrpri.org/post/59955,25,"64.114169, -21.854927",,Pump track-hjólabraut í Fossvogsdal,"Setja upp ""Pump track"" hjóla-, hjólabretta-, hlaupahjólabraut í Fossvogsdal",Pump track cycle lane in Fossvogur valley,"Install a ""Pump track"" cycle lane in Fossvogur valley",Tor rowerowy typu „pumptrack” w dolinie Fossvogur,Projekt zakłada budowę toru rowerowego typu „pumptrack” w dolinie Fossvogur
Digranes,https://yrpri.org/post/59132,25,"64.110778, -21.865619",,Körfuboltavöllur við Álfhólsskóla-Hjalla,"Gera körfuboltavöll við Álfhólsskóla-Hjalla, þar sem nú er malarvöllur",Basketball court at Álftanes School - Hjalli,"Construct a basketball court at Álftanes School - Hjalli, where the gravel pitch currently stands",Boisko do koszykówki przy szkole Álftanes – Hjalli,"Projekt zakłada budowę boiska do koszykówki przy szkole Álftanes – Hjalli, w miejscu obecnego boiska żwirowego"
Digranes,https://yrpri.org/post/59649,5,"64.106819, -21.901877",,Skammdegislýsing í Hlíðargarð,"Setja upp ""jóla""lýsingu í Hlíðargarði og hafa kveikt frá október og fram í febrúar",Lighting for use on winter days in Hlíðargarður,"Install ""Christmas"" lighting in Hlíðargarður and keep the lights on from October until February",Oświetlenie zimowe w parku Hlíðargarður,Projekt zakłada montaż oświetlenia świątecznego w parku Hlíðargarður i utrzymanie go od października do lutego
Digranes,https://yrpri.org/post/59723,10,"64.110529, -21.878261",,Setja upp grillskýli milli Mela- og Lyngheiðar,Setja upp grillskýli á opna svæðinu milli Melaheiðar og Lyngheiðar,Install a barbecue shelter between Melaheiði and Lyngheiði,Install a barbecue shelter in the open area between Melaheiði and Lyngheiði,Zadaszenie w miejscu do grillowania na terenie pomiędzy ulicami Melaheiði i Lyngheiði,Projekt zakłada budowę zadaszenia w miejscu do grillowania na terenie pomiędzy ulicami Melaheiði i Lyngheiði
Digranes,https://yrpri.org/post/59768,8,"64.106379, -21.923543",,Þrektæki fyrir eldri borgara,Setja upp þrektæki fyrir eldri borgara á skjólgóðum stað,Stamina-building equipment for senior citizens,Install stamina-building equipment for senior citizens in a place where there is good shelter from the wind,Urządzenia do poprawy sprawności osób starszych,Projekt zakłada montaż urządzeń do poprawy sprawności osób starszych w miejscu dobrze chronionym przed wiatrem
Digranes,https://yrpri.org/post/59464,6,"64.110998, -21.881912",,Lýsing á gönguleið um Víghólasvæðið,"Setja upp lýsingu á gönguleið milli Bjarnhólastígs og Lyngheiðar, norðan og austan leikskólans Kópahvols",Lighting on the footpath in the Víghólar area,"Install lighting on the footpath between Bjarnhólastígur and Lyngheiði, to the north and east of Kópahvol kindergarten",Oświetlenie ścieżki spacerowej w rejonie Víghólar,"Projekt zakłada montaż oświetlenia ścieżki spacerowej łączącej ulice Bjarnhólastígur i Lyngheiði, na północ i wschód od przedszkola Kópahvol"
Digranes,https://yrpri.org/post/59158,6,"64.110529, -21.900401",,Hjólastæði á lóð Kópavogsskóla,Fjölga og endurnýja hjólastæði við Kópavogsskóla,Bicycle parking racks on the lot of Kópavogur school,Increase the number of bicycle parking racks and renovate current ones at Kópavogur school,Stojaki na rowery na parkingu przy szkole Kópavogur,Projekt zakłada zwiększenie liczby nowych i odnowienie istniejących stojaków na rowery przy szkole Kópavogur
Smárahverfi,https://yrpri.org/post/59592,9,"64.105476, -21.890940",,Fleiri leiktæki við ærslabelg við Dalsmára,"Setja aparólu, útigrill o.fl. við ærslabelg við Dalsmára",More playground equipment by the jumping pad at Dalsmári,"Install a monkey swing, outdoor barbecue etc. at Dalsmári",Doposażenie placu zabaw przy trampolinie przy ulicy Dalsmári,"Projekt zakłada montaż tyrolki, miejsca do grillowania itd. przy ulicy Dalsmári"
Smárahverfi,https://yrpri.org/post/59591,24,"64.103571, -21.884608",,Leiksvæði við Lautasmára,Endurnýja leiksvæði við Lautasmára,Playground by Lautasmári,Renovate the playground by Lautasmári,Plac zabaw w Lautasmári,Projekt zakłada odnowienie placu zabaw przy ulicy Lautasmári
Smárahverfi,https://yrpri.org/post/62167,9,"64.105076, -21.881610",,Leiksvæði við Lækjasmára,Endurbætur á leiksvæði við Lækjasmára,Playground by Lækjasmári,Renovate the playground by Lækjasmári,Plac zabaw przy ulicy Lækjasmári,Projekt zakłada odnowienie placu zabaw przy ulicy Lækjasmári
Smárahverfi,https://yrpri.org/post/59246,24,"64.103059, -21.875168",,Bæta undirgöng fyrir gangandi undir Reykjanesbraut,"Bæta undirgöng fyrir gangandi undir Reykjanesbraut, milli Skógarlindar og Dalvegar",Add an underbridge for pedestrians under Reykjanesbraut,"Add an underbridge for pedestrians under Reykjanesbraut, between Skógarlind and Dalvegur",Przejście dla pieszych pod drogą Reykjanesbraut,"Projekt zakłada budowę przejścia dla pieszych pod drogą Reykjanesbraut, łączącego ulice Skógarlind i Dalvegur"
Smárahverfi,https://yrpri.org/post/59021,12,"64.102736, -21.894447",,Klifurveggur við Smáraskóla,Gera klifurvegg á lóð Smáraskóla,Climbing wall at Smáraskóli school,Construct a climbing wall at Smáraskóli school,Ścianka wspinaczkowa przy szkole Smáraskóli,Projekt zakłada budowę ścianki wspinaczkowej przy szkole Smáraskóli
Smárahverfi,https://yrpri.org/post/59696,9,"64.103084, -21.895854",,Hjólaskýli við Smáraskóla,Setja upp hjólaskýli á lóð Smáraskóla,Bicycle shelter at Smáraskóli school,Install a bicycle shelter on the lot of Smáraskóli school,Zadaszenie w miejscu przechowywania rowerów przy szkole Smáraskóli,Projekt zakłada budowę zadaszenia w miejscu przechowywania rowerów na terenie szkoły Smáraskóli
Smárahverfi,https://yrpri.org/post/59601,7,"64.105402, -21.886523",,Fótboltavöllur á lóð leikskólans Lækjar,"Endurnýja malbikaðan fótboltavöll við leikskólann Læk, setja mýkra undirlag",Football pitch on the grounds of the preschool Lækur,"Renovate the asphalt football pitch at the preschool Lækur, install softer supporting surface",Boisko do piłki nożnej na terenie przedszkola Lækur,Projekt zakłada odnowienie asfaltowego boiska do piłki nożnej na terenie przedszkola Lækur i montaż bardziej miękkiej nawierzchni
Smárahverfi,https://yrpri.org/post/59963,18,"64.102451, -21.896042",,Gervigrasvöllur á lóð Smáraskóla,Setja gervigras og girðingu í staðinn fyrir malbikaða völlinn við Smáraskóla,Artificial grass on the lot of Smáraskóli school,Install artificial grass and fence instead of the asphalt pitch at Smáraskóli school,Sztuczna murawa na boisku przy szkole Smáraskóli,Projekt zakłada ułożenie sztucznej murawy i ogrodzenia zamiast boiska asfaltowego na terenie szkoły Smáraskóli
Smárahverfi,https://yrpri.org/post/59180,3,"64.102469, -21.895051",,Lýsing við boltavelli við Smáraskóla,Bæta lýsingu við boltavelli við Smáraskóla,Lighting at the ball playing courts at Smáraskóli,Add lighting at the ball playing courts at Smáraskóli,Oświetlenie boiska do gry w piłkę przy szkole Smáraskóli,Projekt zakłada montaż oświetlenia boiska do gry w piłkę przy szkole Smáraskóli
Smárahverfi,https://yrpri.org/post/59600,6,"64.118045, -21.943456",,Róla fyrir hreyfihamlaða á leiksvæði í Smárahverfi,Setja upp rólu fyrir fyrir hreyfihamlaða á leiksvæði í Smárahverfi,Swing for children with reduced mobility in the playground area in the Smári neighbourhood,Install a swing for children with reduced mobility in the playground area in the Smári neighbourhood,Huśtawka dla dzieci o ograniczonej sprawności ruchowej na placu zabaw w okolicy Smári,Projekt zakłada zamontowanie huśtawki dla dzieci o ograniczonej sprawności ruchowej na placu zabaw w okolicy Smári
Smárahverfi,https://yrpri.org/post/59002,2,"64.105334, -21.890822",,Vatnspóstur við ærslabelginn við Dalsmára,Setja upp vatnspóst (-font) við ærslabelginn í Kópavogsdal,Drinking water fountain by the jumping pad at Dalsmári,Install a drinking water fountain by the jumping pad at Dalsmári,Pitniki przy trampolinie przy ulicy Dalsmári,Projekt zakłada zamontowanie pitników przy trampolinie przy ulicy Dalsmári
Smárahverfi,https://yrpri.org/post/58911,20,"64.105108, -21.888897",,Pump-track hjóla- hlaupahjóla- hjólabrettabraut við Dalsmára,"Setja upp ""Pump track"" hjóla-, hlaupahjóla-, hjólabrettabraut við ærslabelginn í Kópavogsdal",Pump-track cycling/scooter/skateboard course at Dalsmári,"Install a ""Pump track"" cycling/scooter/skateboard course at the jumping pad in Kópavogur valley",Tor typu „pumptrack” dla rowerów/hulajnóg/deskorolek przy ulicy Dalsmári,Projekt zakłada budowę toru typu „pumptrack” dla rowerów/hulajnóg/deskorolek przy trampolinie w dolinie Kópavogur
Smárahverfi,https://yrpri.org/post/58992,13,"64.100726, -21.898445",,Umbætur á grænu svæði í Nónhæð,"Umbætur á opnu svæði í Nónhæð (brekkan frá Arnarsmára niður að Fífuhvammsvegi), m.a. gera sleðabrekku og auka gróður",Improvements to the green area on Nónhæð,"Improvements to the open area on Nónhæð (the hill from Arnarsmári down to Fífuhvammsvegur), among other things by creating a sledding slope and planting more vegetation",Rewitalizacja terenów zielonych w rejonie Nónhæð,"Projekt zakłada rewitalizację terenów zielonych w rejonie Nónhæð (od ulicy Arnarsmári aż do ulicy Fífuhvammsvegur), wraz z budową trasy saneczkowej i nasadzeniem większej liczby roślin"
Smárahverfi,https://yrpri.org/post/59597,2,"64.117711, -21.936063",,Skilti með kynningu á gömlum leikjum,Útbúa og setja upp skilti í hverfinu með gömlum leikjum í myndformi,Signs with information about old games,Make and install signs in the neighbourhood displaying old games with images,Znaki z informacjami o starych grach,Projekt zakłada wykonanie i montaż w okolicy tabliczek z opisem i zdjęciami ze starych gier
Lindir og Salir,https://yrpri.org/post/59415,11,"64.091604, -21.854658",,Hjólaskýli með myndavélum við Salaskóla,Setja upp hjólaskýli með myndavélum við Salaskóla,Bicycle shelter with cameras at Salaskóli,install a bicycle shelter with cameras at Salaskóli school,Zadaszenie z kamerami w miejscu przechowywania rowerów przy szkole Salaskóli,Projekt zakłada budowę zadaszenia z kamerami w miejscu przechowywania rowerów przy szkole Salaskóli
Lindir og Salir,https://yrpri.org/post/59672,9,"64.091890, -21.855366",,Hjólabogar við Salalaug,Setja upp hjólaboga við innganginn í Salalaug,Bicycle parking racks at Salalaug swimming pool,Install bicycle parking racks at the entrance of Salalaug swimming pool,Stojaki na rowery przy basenie Salalaug,Projekt zakłada montaż stojaków na rowery przy wejściu na basen Salalaug
Lindir og Salir,https://yrpri.org/post/58998,6,"64.099650, -21.864582",,Lýsing á göngustígum að Lindaskóla,Bætt lýsing á göngustígum að Lindaskóla,Lighting on the footpaths leading to Lindaskóli,Lighting on the footpaths leading to Lindaskóli,Oświetlenie chodników przy szkole Lindaskóli,Projekt zakłada montaż oświetlenia chodników przy szkole Lindaskóli
Lindir og Salir,https://yrpri.org/post/59016,16,"64.097836, -21.878209",,Leiksvæði í Álalind,Fjölga leiktækjum og bæta leiksvæði í Álalind,Playground area in Álalind,Add more playground equipment and make improve the playground area in Álalind,Plac zabaw przy ulicy Álalind,Projekt zakłada zamontowanie dodatkowych urządzeń zabawowych na placu zabaw przy ulicy Álalind
Lindir og Salir,https://yrpri.org/post/59844,5,"64.117795, -21.931980",,Hjólastólaróla á leiksvæði í hverfinu,Setja hjólastólarólu á leiksvæði í hverfinu,Wheelchair swing in the playground area in the neighbourhood,Install a wheelchair swing in the playground area in the neighbourhood,Huśtawka dla osób na wózkach inwalidzkich na placu zabaw w okolicy,Projekt zakłada montaż huśtawki dla osób na wózkach inwalidzkich na placu zabaw w okolicy
Lindir og Salir,https://yrpri.org/post/59931,2,"64.116890, -21.933999",,Fleiri vatnspósta í hverfið,Setja upp tvo vatnspósta í hverfinu,More drinking water fountains in the neighbourhood,Install two water fountains in the neighborhood,Zamontowanie dodatkowych pitników w okolicy,Projekt zakłada zamontowanie dwóch nowych pitników w okolicy
Lindir og Salir,https://yrpri.org/post/59003,7,"64.098846, -21.866638",,Aparóla á lóð Lindaskóla,Setja upp aparólu við Lindaskóla,Monkey swing on the Lindaskóli school grounds,Install a monkey swing at Lindaskóli,Tyrolka na terenie szkoły Lindaskóli,Projekt zakłada zamontowanie tyrolki na terenie szkoły Lindaskóli
Lindir og Salir,https://yrpri.org/post/59339,12,"64.099905, -21.867573",,Yfirbyggð hjólastæði við Lindaskóla,Setja upp yfirbyggð hjólastæði við Lindaskóla,Covered bicycle parking by Lindaskóli,Install covered bicycle parking by Lindaskóli,Zadaszony parking dla rowerów przy szkole Lindaskóli,Projekt zakłada budowę zadaszonego parkingu dla rowerów przy szkole Lindaskóli
Lindir og Salir,https://yrpri.org/post/58980,12,"64.098003, -21.872013",,Leiksvæði við Funalind,"Endurbætur á leiksvæði við Funalind, norðan leikskólans Dals",Playground by Funalind,"Improvements to the playground area at Funalind, to the north of Dalur kindergarten",Plac zabaw przy ulicy Funalind,"Projekt zakłada ulepszenie placu zabaw przy ulicy Funalind, na północ od przedszkola Dalur"
Lindir og Salir,https://yrpri.org/post/59006,20,"64.102181, -21.862737",,Opið svæði á milli Köldulindar og Jöklalindar,"Bæta aðstöðu á opnu svæði milli Köldulindar og Jöklalindar, t.d. sparkvöllur, púttvöllur o.fl.",Open area between Köldulind and Jöklalind,"Improve the facilities in the open area between Köldulind and Jöklalind, such as the football pitch, minigolf course etc.",Poprawa terenów zielonych między ulicami Köldulind i Jöklalind,"Projekt zakłada poprawę infrastruktury, w tym boiska do piłki nożnej, pola do minigolfa itd., na terenach zielonych między ulicami Köldulind i Jöklalind"
Lindir og Salir,https://yrpri.org/post/59042,11,"64.101474, -21.866398",,Leiksvæði við Laugalind,Bæta leiksvæði við endann á Laugalind,Playground at the end of Laugalind,Playground at the end of Laugalind,Plac zabaw na końcu ulicy Laugalind,Projekt zakłada budowę placu zabaw na końcu ulicy Laugalind
