,,Area name,Area budget,,,,,,,,,,,,,,,
,,Kársnes,33,,,,,,,,,,,,,,,
,,Digranes,62,,,,,,,,,,,,,,,
,,Smárahverfi,24,,,,,,,,,,,,,,,
,,Fífuhvammur,36,,,,,,,,,,,,,,,
,,Vatnsendi,45,,,,,,,,,,,,,,,
,,Samtals:,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Nr,Area Name,URL to original idea (optional),Cost,Location 1,Location 2 (optional),Name-is,Description-is,Name-en,Description-en,Name-pl,Description-pl,,,,,,
4,F40,Fífuhvammur,https://yrpri.org/post/59016,16,"64.097836, -21.878209",,Leiksvæði í Álalind,Fjölga leiktækjum og bæta leiksvæði í Álalind,,,,,,,,,,
5,F59,Fífuhvammur,https://yrpri.org/post/59844,5,,,Hjólastólaróla á leiksvæði í hverfinu,Setja hjólastólarólu á leiksvæði í hverfinu,,,,,,,,,,
6,F80,Fífuhvammur,https://yrpri.org/post/59931,2,,,Fleiri vatnspósta í hverfið,Setja upp tvo vatnspósta í hverfinu,,,,,,,,,,
7,F4,Fífuhvammur,https://yrpri.org/post/59003,7,"64.098846, -21.866638",,Aparóla á lóð Lindaskóla,Setja upp aparóla við Lindaskóla,,,,,,,,,,
8,F33,Fífuhvammur,https://yrpri.org/post/59339,12,"64.099905, -21.867573",,Yfirbyggð hjólastæði við Lindaskóla,Setja upp yfirbyggð hjólastæði við Lindaskóla,,,,,,,,,,
9,F9,Fífuhvammur,https://yrpri.org/post/58980,12,"64.098003, -21.872013",,Leiksvæði við Funalind,"Endurbætur á leiksvæði við Funalind, norðan leikskólans Dals",,,,,,,,,,
10,F24,Fífuhvammur,https://yrpri.org/post/59006,20,"64.102181, -21.862737",,Opið svæði á milli Köldulindar og Jöklalindar,"Bæta aðstöðu á opnu svæði milli Köldulindar og Jöklalindar, t.d. sparkvöllur, púttvöllur o.fl.",,,,,,,,,,
11,F34,Fífuhvammur,https://yrpri.org/post/59042,11,"64.101474, -21.866398",,Leiksvæði við Laugalind,Bæta leiksvæði við endann á Laugalind,,,,,,,,,,
12,F55,Fífuhvammur,https://yrpri.org/post/59095,8,"64.092260, -21.870491",,Leiksvæði milli Þorrasala og Þrúðsala,Endurbætur á leiksvæði milli Þorrasala og Þrúðsala,,,,,,,,,,
13,F57,Fífuhvammur,https://yrpri.org/post/59837,8,"64.090009, -21.848103",,Leiksvæði milli Roðasala og Skjólsala,Lagfæra leiksvæði milli Roðasala og Skjólsala,,,,,,,,,,
14,F70,Fífuhvammur,https://yrpri.org/post/59075,10,"64.089878, -21.840442",,Sparkvöllur og opið svæði við Rjúpnasali,"Setja gervigras á sparkvöll sunnan við Rjúpnasali 10-14, gera dvalarsvæði og auka gróður",,,,,,,,,,
15,F21,Fífuhvammur,https://yrpri.org/post/59357,12,"64.091937, -21.855924",,Sauna í Salalaug,Setja upp sauna í Salalaug,,,,,,,,,,
16,F78,Fífuhvammur,https://yrpri.org/post/59928,9,"64.093995, -21.856686",,Ungbarnaleiksvæði á leikskólanum Fífusölum,Laga leiksvæði fyrir yngstu börnin á Fífusölum,,,,,,,,,,
17,F12,Fífuhvammur,https://yrpri.org/post/59520,6,,,Meiri jólaljós í hverfið,Setja upp skreytingar á ljósastaura og stór tré í hverfinu,,,,,,,,,,
18,F63,Fífuhvammur,https://yrpri.org/post/59808,11,"64.096194, -21.864518",,Lýsing á göngustíg við Fífuhvammsveg,Setja upp lýsingu á göngustíg við Fífuhvammsveg milli Salavegar og Hlíðardalsvegar,,, ,,,,,,, 
19,F52,Fífuhvammur,https://yrpri.org/post/59656,7,"64.094436, -21.861578",,Aðgengi að strætóbiðskýli við Fífuhvammsveg,"Gera gönguleið að strætóbiðskýli við Fífuhvammsveg, neðan Ársala",,, ,,,,,,, 
20,F41,Fífuhvammur,https://yrpri.org/post/59416,7,"64.089067, -21.844337",,Lýsing á göngustíg meðfram golfvelli,Bæta lýsingu á stíg fyrir gangandi meðfram golfvelli GKG,,, ,,,,,,, 
1,V27,Vatnsendi,https://yrpri.org/post/59675,18,"64.087662, -21.829435",,Lóð leikskólans Baugs,Bæta ungbarnasvæðið og endurnýja kastala á lóð leikskólans Baugs,,,,,,,,,,
2,V36,Vatnsendi,https://yrpri.org/post/59674,13,"64.085098, -21.827509",,Klifurveggur á lóð Hörðuvallaskóla,Setja upp klifurvegg á lóð Hörðuvallaskóla,,,,,,,,,,
3,V67,Vatnsendi,https://yrpri.org/post/59676,14,"64.085060, -21.825118",,Sleppisvæði við Hörðuvallaskóla,Bæta sleppisvæði við Hörðuvallaskóla,,,,,,,,,,
4,V….,Vatnsendi,https://yrpri.org/post/62169,11,,,Lýsing gangbrauta við hringtorg,Bæta lýsingu gangbrauta við hringtorg við leik- og grunnskóla í hverfinu,,,,,,,,,,
5,V7,Vatnsendi,https://yrpri.org/post/59028,11,"64.078806, -21.821458",,Malarstígur milli Boðaþings og Guðmundarlundar,Gera göngu- og hjólastíg milli Boðaþings og Guðmundarlundar,,,,,,,,,,
6,V44,Vatnsendi,https://yrpri.org/post/58996,10,"64.085472, -21.844321",,Æfingatæki við Austurkór,Setja upp æfingatæki (þrektæki) á opnu svæði í Austurkór,,,,,,,,,,
7,V11,Vatnsendi,https://yrpri.org/post/59062,6,"64.089121, -21.805156","64.082669, -21.823293",Læsanleg hlaupahjólastæði við Vatnsendaskóla og Kórinn,Setja upp læsanleg hlaupahjólastæði við Vatnsendaskóla og Kórinn,,,,,,,,,,
